created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Mon May 04 17:37:34 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594506143633899520/photo/1,0,595281124990914560,2,RT @jeffreymoro: Campbell uses @anvcscalar to build his @5collDH project! #5cdh #newrigor http://t.co/nkdbS0SWIu,anvcscalar,Scalar
Sun May 03 22:50:49 +0000 2015,5cdh newrigor,http://twitter.com/EcstaticPesse/status/594590894067691521/photo/1,0,594997566904913920,1,RT @EcstaticPesse: #5cdh #newrigor http://t.co/oeWXjvpzEq,5collDH,Five College DH
Sun May 03 22:47:55 +0000 2015,NewRigor,,0,594996840346624001,2,"RT @ByzCapp: Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",5collDH,Five College DH
Sun May 03 22:47:47 +0000 2015,NewRigor,,0,594996806955737088,1,RT @umassdhi: Great to see @Pompeiana79 @coppergiloth and @jonberndtolsen at #NewRigor @5collDH,5collDH,Five College DH
Sun May 03 22:46:56 +0000 2015,NewRigor,,0,594996590420590592,2,"RT @ByzCapp: Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",amplify285,Marisa Parham
Sun May 03 22:46:49 +0000 2015,NewRigor 5collDH,,0,594996563216355328,1,"RT @Pompeiana79: @byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",amplify285,Marisa Parham
Sun May 03 00:01:52 +0000 2015,5cDH NewRigor,,0,594653060904812544,2,"RT @jeffreymoro: Campbell's work: ""Building an interface that coproduces *with* the images on display."" #5cDH #NewRigor @5collDH",textpotential,Michael Hemenway
Sat May 02 23:00:48 +0000 2015,NewRigor,,0,594637692220084224,0,"In the sciences, both new discoveries and the development and creative use of technology are valued. Why not in the humanities? #NewRigor",EduObservatory,Andy Anderson
Sat May 02 19:54:50 +0000 2015,5cdh newrigor,http://twitter.com/EcstaticPesse/status/594590894067691521/photo/1,1,594590894067691521,1,#5cdh #newrigor http://t.co/oeWXjvpzEq,EcstaticPesse,Ecstatic Pessimist
Sat May 02 19:32:35 +0000 2015,NewRigor,,0,594585295271497728,2,"Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",ByzCapp,Byzantine Cappadocia
Sat May 02 19:30:06 +0000 2015,NewRigor 5collDH,,0,594584667715670018,1,"@byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",Pompeiana79,Eric Poehler
Sat May 02 19:28:52 +0000 2015,NewRigor,,2,594584356699512832,0,#NewRigor My questions are large and existential!,ByzCapp,Byzantine Cappadocia
Sat May 02 19:20:21 +0000 2015,newrigor 5cdh,,0,594582214391783424,0,"""How do we get our non-DH peers to understand what we do?"" - @Pompeiana79 #newrigor #5cdh",sheishistoric,Emily Esten
Sat May 02 19:09:59 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594579605664702466/photo/1,1,594579605664702466,0,"@Pompeiana79 or like this:

#NewRigor #5collDH http://t.co/bD9zj4BU0c",Pompeiana79,Eric Poehler
Sat May 02 19:08:07 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577609704480769/photo/1,0,594579134736654338,2,"RT @Pompeiana79: @pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",jonberndtolsen,Jon Berndt Olsen
Sat May 02 19:03:46 +0000 2015,NewRigor,,0,594578040623124480,2,"RT @jdrabinski: New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support …",SmithGIS,GIS @ Smith College
Sat May 02 19:03:17 +0000 2015,newrigor blue,,0,594577918787002368,1,RT @mariinyrop: #newrigor #blue Should there be a firm separation of Assessment + Analytics when evaluating + supporting young scholars? ..…,sheishistoric,Emily Esten
Sat May 02 19:02:03 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577609704480769/photo/1,2,594577609704480769,2,"@pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",Pompeiana79,Eric Poehler
Sat May 02 19:01:25 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577451193360385/photo/1,2,594577451193360385,1,"The filter for DH evaluations, at all levels, needs to look like this: 

#NewRigor #5collDH http://t.co/1zJ1yVoqtX",Pompeiana79,Eric Poehler
Sat May 02 18:59:49 +0000 2015,newrigor blue,,0,594577046656942080,1,#newrigor #blue Should there be a firm separation of Assessment + Analytics when evaluating + supporting young scholars? ... data vs doing?,mariinyrop,marii nyröp
Sat May 02 18:57:26 +0000 2015,newrigor green,,0,594576449635491840,2,RT @Pompeiana79: 'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive…,sheishistoric,Emily Esten
Sat May 02 18:55:25 +0000 2015,NewRigor blue,,0,594575941394944001,2,"RT @_superluminal: #NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of do…",mariinyrop,marii nyröp
Sat May 02 18:52:51 +0000 2015,newrigor,http://twitter.com/EcstaticPesse/status/594543707640229889/photo/1,0,594575293312040960,2,RT @EcstaticPesse: I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8…,kgbain,Kimberly Bain
Sat May 02 18:52:47 +0000 2015,blue NewRigor,,0,594575277684031488,1,RT @_superluminal: hi #blue group!!!! #NewRigor @5collDH,kgbain,Kimberly Bain
Sat May 02 18:52:45 +0000 2015,NewRigor blue,,0,594575267697405952,2,"RT @_superluminal: #NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of do…",kgbain,Kimberly Bain
Sat May 02 18:52:41 +0000 2015,orange newrigor,,0,594575254284034048,2,"RT @EduObservatory: “How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
…",kgbain,Kimberly Bain
Sat May 02 18:52:37 +0000 2015,blue NewRigor,,0,594575235480977409,1,RT @_superluminal: what is twitter and how can academics best utilize it personally and professionally? #blue #NewRigor,kgbain,Kimberly Bain
Sat May 02 18:52:34 +0000 2015,newrigor red,,0,594575224328314880,1,RT @EcstaticPesse: #newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology …,kgbain,Kimberly Bain
Sat May 02 18:52:32 +0000 2015,red newrigor,,0,594575216640192512,1,"RT @sheishistoric: #red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",kgbain,Kimberly Bain
Sat May 02 18:52:12 +0000 2015,orange newrigor,,0,594575128891101186,2,"RT @EduObservatory: “What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#or…",Pompeiana79,Eric Poehler
Sat May 02 18:52:11 +0000 2015,blue NewRigor,,0,594575126349357056,1,RT @_superluminal: the beautiful thing about DH working groups: finding alternative communication methods when tech goes wrong #blue #NewRi…,kgbain,Kimberly Bain
Sat May 02 18:52:09 +0000 2015,orange newrigor,,0,594575118036242432,1,"RT @EduObservatory: “What kinds of structures would help staff member’s own intellectual work emerge?”
Professional development support var…",kgbain,Kimberly Bain
Sat May 02 18:52:06 +0000 2015,red newrigor,,0,594575106942337024,1,RT @sheishistoric: #red: do these project types even encompass what the student symposium projects do &amp; present? #newrigor,kgbain,Kimberly Bain
Sat May 02 18:52:05 +0000 2015,blue newrigor,,0,594575100063653888,1,RT @_superluminal: how can we evaluate DH w/o a basic understanding of/relationships with tech platforms? #blue #newrigor,kgbain,Kimberly Bain
Sat May 02 18:52:03 +0000 2015,blue newrigor,,0,594575092887216128,1,RT @_superluminal: big questions: what are the ethics of assuming shared knowledge/paradigms? #blue #newrigor,kgbain,Kimberly Bain
Sat May 02 18:52:00 +0000 2015,orange newrigor,,0,594575079217963009,1,"RT @EduObservatory: “Structures for staff member’s own intellectual work?”
Prof. dev. support better in IT than in libraries — usually. MHC…",kgbain,Kimberly Bain
Sat May 02 18:51:58 +0000 2015,blue newrigor,,0,594575072997863426,1,RT @_superluminal: cornett: how do we fairly evaluate inherently collaborative work? #blue #newrigor,kgbain,Kimberly Bain
Sat May 02 18:51:57 +0000 2015,value orange newrigor,,0,594575067482292224,1,"RT @SmithGIS: #value is not in question for participating in scholarship, but what are the rewards? #orange #newrigor @5collDH",kgbain,Kimberly Bain
Sat May 02 18:51:50 +0000 2015,newrigor purple,,0,594575039179190272,1,RT @amplify285: #newrigor #purple working thru the ? of how to articulate the value of failure in a humanities environment: “u don’t get po…,kgbain,Kimberly Bain
Sat May 02 18:51:45 +0000 2015,orange newrigor,,0,594575018702536705,2,"RT @EduObservatory: “What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#or…",kgbain,Kimberly Bain
Sat May 02 18:51:37 +0000 2015,blue newrigor,,0,594574985403998210,1,RT @_superluminal: thinking about peer review as a possible mode for DH work evaluation #blue #newrigor,kgbain,Kimberly Bain
Sat May 02 18:51:35 +0000 2015,orange newrigor,,0,594574976851845120,1,"RT @EduObservatory: “What is the difference between collaboration and support?”
Could also include producing or procuring funding.
#orange …",kgbain,Kimberly Bain
Sat May 02 18:51:26 +0000 2015,blue newrigor,,0,594574939899985920,1,RT @_superluminal: uncooperative internet means I'm alternately live tweeting the #blue group discussion from the video stream and the Goog…,kgbain,Kimberly Bain
Sat May 02 18:51:24 +0000 2015,newrigor red,,0,594574930521542656,1,RT @EcstaticPesse: #newrigor #red Digital humanities is more about using digital research and practice methodologies instead of it being ab…,kgbain,Kimberly Bain
Sat May 02 18:51:22 +0000 2015,newrigor purple,,0,594574921935810560,1,"RT @amplify285: #newrigor #purple talking @ the language of our concerns. So many things, realizing we need new words, new categories, atta…",kgbain,Kimberly Bain
Sat May 02 18:51:20 +0000 2015,newrigor green,,0,594574911575871490,2,RT @Pompeiana79: 'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive…,kgbain,Kimberly Bain
Sat May 02 18:51:18 +0000 2015,orange newrigor,,0,594574903392792576,1,"RT @EduObservatory: “Evaluation &amp; assessment different for principal investigators”
Parallel life — what we’re asked to do and actually do.…",kgbain,Kimberly Bain
Sat May 02 18:51:16 +0000 2015,blue NewRigor,,0,594574893913665536,1,RT @_superluminal: suggesting metrics (i.e. Google Analytics) for participation tracking. how do diff b/t actual involvement &amp; self promoti…,kgbain,Kimberly Bain
Sat May 02 18:51:10 +0000 2015,red newrigor,,0,594574870693990401,1,RT @sheishistoric: #red: the way we talk about a project is very different than the project itself  #newrigor,kgbain,Kimberly Bain
Sat May 02 18:51:06 +0000 2015,orange newrigor,,0,594574855242174464,1,"RT @EduObservatory: “How is participation in a scholarly project assessed and evaluated?”
Theoretically merit pay ⇑, mostly pats on the bac…",kgbain,Kimberly Bain
Sat May 02 18:50:51 +0000 2015,purple newrigor,,0,594574789995601921,1,"RT @amplify285: #purple #newrigor talking models for valuing iterations. Lang of again, articulating how different practices can become val…",kgbain,Kimberly Bain
Sat May 02 18:50:48 +0000 2015,newrigor,,0,594574776649314305,1,"RT @cliotropic: Wishing I could attend #newrigor in person, but following along from the tweets is good too. Thanks to those livetweeting.",kgbain,Kimberly Bain
Sat May 02 18:50:45 +0000 2015,newrigor green,,0,594574765047848960,1,"RT @Pompeiana79: High-Risk/High-Reward push by funders 4 projects makes pre-tenure faculty into gamblers. So, how to we evaluate ""failure""?…",kgbain,Kimberly Bain
Sat May 02 18:50:43 +0000 2015,AltAcs newrigor,,0,594574756105592832,1,"RT @ekansa: @Pompeiana79 and #AltAcs the ""suicide squad""? #newrigor",kgbain,Kimberly Bain
Sat May 02 18:50:39 +0000 2015,DH NewRigor green,,0,594574741391958016,2,RT @Pompeiana79: @Pompeiana79 one answer might be to build parts of your #DH project as viable on their own Each a minimally viable product…,kgbain,Kimberly Bain
Sat May 02 18:50:36 +0000 2015,newrigor 5cdh,http://twitter.com/EcstaticPesse/status/594554443733032960/video/1,0,594574729606012929,1,RT @EcstaticPesse: My small hand makes the perfect coffee stirrer #newrigor #5cdh http://t.co/qAfO4uYDg3,kgbain,Kimberly Bain
Sat May 02 18:50:33 +0000 2015,NewRigor,http://twitter.com/jdrabinski/status/594559542748434432/photo/1,0,594574716238745601,3,RT @jdrabinski: Lunch break at #NewRigor conference with @5collDH folks http://t.co/HPC0ikkkgA,kgbain,Kimberly Bain
Sat May 02 18:50:28 +0000 2015,NewRigor,,0,594574695472705539,2,"RT @jdrabinski: New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support …",kgbain,Kimberly Bain
Sat May 02 18:50:24 +0000 2015,gnurigor NewRigor,http://twitter.com/jeffreymoro/status/594567151169712129/photo/1,0,594574676090818560,2,RT @jeffreymoro: #gnurigor #NewRigor http://t.co/USEBIJ8imE,kgbain,Kimberly Bain
Sat May 02 18:50:11 +0000 2015,newrigor,,0,594574623775334400,2,RT @umassdhi: Great first round of talks at #newrigor @5colldh,kgbain,Kimberly Bain
Sat May 02 18:50:03 +0000 2015,NewRigor,,0,594574590493470720,1,RT @Pompeiana79: hey @ByzCapp we see you here in the #NewRigor room!! Welcome!,kgbain,Kimberly Bain
Sat May 02 18:49:59 +0000 2015,LAWDI NewRigor,,0,594574572445392896,1,RT @ByzCapp: @Pompeiana79 It's a #LAWDI and #NewRigor crossover episode!,kgbain,Kimberly Bain
Sat May 02 18:48:56 +0000 2015,LAWDI NewRigor,,1,594574306623037440,1,@Pompeiana79 It's a #LAWDI and #NewRigor crossover episode!,ByzCapp,Byzantine Cappadocia
Sat May 02 18:44:30 +0000 2015,NewRigor,,0,594573194402607105,1,Great to see @Pompeiana79 @coppergiloth and @jonberndtolsen at #NewRigor @5collDH,umassdhi,UMass DHI
Sat May 02 18:42:42 +0000 2015,NewRigor,,0,594572739727482881,1,hey @ByzCapp we see you here in the #NewRigor room!! Welcome!,Pompeiana79,Eric Poehler
Sat May 02 18:38:49 +0000 2015,newrigor,,0,594571763117330432,2,RT @umassdhi: Great first round of talks at #newrigor @5colldh,5collDH,Five College DH
Sat May 02 18:37:41 +0000 2015,newrigor,,0,594571476101165056,2,Great first round of talks at #newrigor @5colldh,umassdhi,UMass DHI
Sat May 02 18:36:49 +0000 2015,NewRigor,,0,594571258768982020,2,"New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support staff"" #NewRigor",jdrabinski,John E. Drabinski
Sat May 02 18:21:11 +0000 2015,gnurigor NewRigor,http://twitter.com/jeffreymoro/status/594567151169712129/photo/1,0,594567325690535936,2,RT @jeffreymoro: #gnurigor #NewRigor http://t.co/USEBIJ8imE,EcstaticPesse,Ecstatic Pessimist
Sat May 02 18:20:30 +0000 2015,gnurigor NewRigor,http://twitter.com/jeffreymoro/status/594567151169712129/photo/1,1,594567151169712129,2,#gnurigor #NewRigor http://t.co/USEBIJ8imE,jeffreymoro,Jeffrey Moro
Sat May 02 18:18:26 +0000 2015,NewRigor,http://twitter.com/jdrabinski/status/594559542748434432/photo/1,0,594566634406219776,3,RT @jdrabinski: Lunch break at #NewRigor conference with @5collDH folks http://t.co/HPC0ikkkgA,5collDH,Five College DH
Sat May 02 18:16:10 +0000 2015,newrigor,http://twitter.com/EcstaticPesse/status/594543707640229889/photo/1,0,594566060747067392,2,RT @EcstaticPesse: I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8…,5collDH,Five College DH
Sat May 02 18:15:57 +0000 2015,newrigor,,0,594566008091717632,1,"RT @kgbain: @amplify285 kicks off the @5collDH #newrigor conference. ""What is *actually* helpful?""",5collDH,Five College DH
Sat May 02 18:15:48 +0000 2015,NewRigor,http://twitter.com/_superluminal/status/594532793557884928/photo/1,0,594565970166845440,1,RT @_superluminal: Skyping in to the #NewRigor with @5collDH !! Talking new modes of DH scholarship evaluation http://t.co/y0WH4gN1je,5collDH,Five College DH
Sat May 02 18:00:48 +0000 2015,NewRigor,,0,594562194458578944,1,"RT @Pompeiana79: #NewRigor students show DH as a:
performance space
representational space
methodological platform
genre
source of freedom
…",ProfChristensen,A.M. Christensen
Sat May 02 17:50:16 +0000 2015,NewRigor,http://twitter.com/jdrabinski/status/594559542748434432/photo/1,0,594559542748434432,3,Lunch break at #NewRigor conference with @5collDH folks http://t.co/HPC0ikkkgA,jdrabinski,John E. Drabinski
Sat May 02 17:45:27 +0000 2015,DH NewRigor green,,0,594558332456796161,2,RT @Pompeiana79: @Pompeiana79 one answer might be to build parts of your #DH project as viable on their own Each a minimally viable product…,KentHumsRes,Lynne Bennett
Sat May 02 17:30:00 +0000 2015,newrigor 5cdh,http://twitter.com/EcstaticPesse/status/594554443733032960/video/1,1,594554443733032960,1,My small hand makes the perfect coffee stirrer #newrigor #5cdh http://t.co/qAfO4uYDg3,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:23:48 +0000 2015,DH NewRigor green,,2,594552882218835968,2,@Pompeiana79 one answer might be to build parts of your #DH project as viable on their own Each a minimally viable product. #NewRigor #green,Pompeiana79,Eric Poehler
Sat May 02 17:23:33 +0000 2015,AltAcs newrigor,,1,594552823343403008,1,"@Pompeiana79 and #AltAcs the ""suicide squad""? #newrigor",ekansa,Eric Kansa
Sat May 02 17:23:30 +0000 2015,NewRigor,,0,594552810244591617,4,RT @5collDH: Join our 5/2 convo on assessment &amp; eval of humanists' digital work. How might eval support scholars? #NewRigor ⇢ http://t.co/i…,cliotropic,Shane Landrum
Sat May 02 17:22:02 +0000 2015,newrigor green,,0,594552437987516416,1,"High-Risk/High-Reward push by funders 4 projects makes pre-tenure faculty into gamblers. So, how to we evaluate ""failure""? #newrigor #green",Pompeiana79,Eric Poehler
Sat May 02 17:21:49 +0000 2015,newrigor,,1,594552385957138432,1,"Wishing I could attend #newrigor in person, but following along from the tweets is good too. Thanks to those livetweeting.",cliotropic,Shane Landrum
Sat May 02 17:21:42 +0000 2015,purple newrigor,,0,594552355036729344,1,"#purple #newrigor talking models for valuing iterations. Lang of again, articulating how different practices can become values, if we push",amplify285,Marisa Parham
Sat May 02 17:21:19 +0000 2015,BitterStaff orange newrigor,,0,594552258278400000,0,"“How is participation in a scholarly project assessed and evaluated?”
Not. New meme: #BitterStaff (except with a union!)
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:20:07 +0000 2015,orange newrigor,,1,594551955156029440,0,varied landscape in assessment for staff in scholarly work - #orange #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:19:19 +0000 2015,orange newrigor,,0,594551756627058691,1,"“How is participation in a scholarly project assessed and evaluated?”
Theoretically merit pay ⇑, mostly pats on the back. 
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:19:18 +0000 2015,red newrigor,,0,594551751505772544,1,#red: the way we talk about a project is very different than the project itself  #newrigor,sheishistoric,Emily Esten
Sat May 02 17:19:10 +0000 2015,blue NewRigor,,0,594551716709793794,1,suggesting metrics (i.e. Google Analytics) for participation tracking. how do diff b/t actual involvement &amp; self promotion? #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:17:10 +0000 2015,orange newrigor,,1,594551214194499585,1,"“Evaluation &amp; assessment different for principal investigators”
Parallel life — what we’re asked to do and actually do.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:17:03 +0000 2015,newrigor green,,1,594551184565862401,2,'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive #newrigor #green,Pompeiana79,Eric Poehler
Sat May 02 17:15:54 +0000 2015,newrigor purple,,1,594550897847439361,1,"#newrigor #purple talking @ the language of our concerns. So many things, realizing we need new words, new categories, attached to values",amplify285,Marisa Parham
Sat May 02 17:14:59 +0000 2015,newrigor red,,0,594550663922585601,1,#newrigor #red Digital humanities is more about using digital research and practice methodologies instead of it being about the medium,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:14:03 +0000 2015,blue newrigor,,0,594550431952609281,1,uncooperative internet means I'm alternately live tweeting the #blue group discussion from the video stream and the Google Doc! #newrigor,_superluminal,liz alexander
Sat May 02 17:12:55 +0000 2015,orange newrigor,,0,594550144353345538,1,"“What is the difference between collaboration and support?”
Could also include producing or procuring funding.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:12:17 +0000 2015,collaboration orange newrigor,,0,594549986169397248,0,Defining TRUE #collaboration @5collDH #orange #newrigor vs. support,SmithGIS,GIS @ Smith College
Sat May 02 17:12:05 +0000 2015,blue newrigor,,0,594549933962825728,1,thinking about peer review as a possible mode for DH work evaluation #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:11:44 +0000 2015,orange newrigor,,1,594549849506357248,2,"“What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:09:58 +0000 2015,newrigor purple,,1,594549404054462464,1,"#newrigor #purple working thru the ? of how to articulate the value of failure in a humanities environment: “u don’t get points for trying""",amplify285,Marisa Parham
Sat May 02 17:09:51 +0000 2015,orange newrigor,,0,594549374224572416,1,"“Structures for staff member’s own intellectual work?”
Prof. dev. support better in IT than in libraries — usually. MHC?
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:09:40 +0000 2015,value orange newrigor,,0,594549327420387328,1,"#value is not in question for participating in scholarship, but what are the rewards? #orange #newrigor @5collDH",SmithGIS,GIS @ Smith College
Sat May 02 17:09:27 +0000 2015,newrigor Orange,,0,594549270780497920,1,RT @EduObservatory: Conversations on professional evaluation of digital humanities beginning now at the #newrigor. #Orange group a mix of t…,cliotropic,Shane Landrum
Sat May 02 17:09:22 +0000 2015,orange newrigor,,0,594549251516080128,2,"RT @EduObservatory: “How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
…",cliotropic,Shane Landrum
Sat May 02 17:09:06 +0000 2015,GIS newrigor,,0,594549183492857858,1,RT @SmithGIS: Note - taking break from normal #GIS tweets to address questions at #newrigor @5collDH,cliotropic,Shane Landrum
Sat May 02 17:08:41 +0000 2015,blue newrigor,,0,594549078375149568,1,cornett: how do we fairly evaluate inherently collaborative work? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:06:50 +0000 2015,blue newrigor,,0,594548613684076544,1,big questions: what are the ethics of assuming shared knowledge/paradigms? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:06:05 +0000 2015,blue newrigor,,0,594548425703694336,1,how can we evaluate DH w/o a basic understanding of/relationships with tech platforms? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:05:08 +0000 2015,red newrigor,,0,594548186691334144,1,#red: do these project types even encompass what the student symposium projects do &amp; present? #newrigor,sheishistoric,Emily Esten
Sat May 02 17:04:49 +0000 2015,orange newrigor,,0,594548107410571265,1,"“What kinds of structures would help staff member’s own intellectual work emerge?”
Professional development support varies
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:04:45 +0000 2015,purple newrigor,,0,594548089001771008,1,RT @amplify285: .@5CollDH #purple #newrigor taking up the ? of what ‘high risk’ means &amp; wondering how tied old model of demonstrating “uniq…,dee_mn,Dee M
Sat May 02 17:04:33 +0000 2015,blue NewRigor,,1,594548041497112578,1,the beautiful thing about DH working groups: finding alternative communication methods when tech goes wrong #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:04:06 +0000 2015,staff newrigor,,0,594547927575633920,0,can there be a #staff pool to draw on where we attend academic conferences? #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:03:53 +0000 2015,purple newrigor,,0,594547870763765762,1,.@5CollDH #purple #newrigor taking up the ? of what ‘high risk’ means &amp; wondering how tied old model of demonstrating “unique-ness”,amplify285,Marisa Parham
Sat May 02 17:03:10 +0000 2015,GIS newrigor,,1,594547693097189377,1,Note - taking break from normal #GIS tweets to address questions at #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:03:04 +0000 2015,red newrigor,,0,594547665901334529,1,"#red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",sheishistoric,Emily Esten
Sat May 02 17:02:47 +0000 2015,newrigor red,,1,594547594396717056,1,#newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology in academia,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:02:32 +0000 2015,orange newrigor,,0,594547530517630977,0,"“Evaluation &amp; assessment different for principal investigators”
UMass library different, national reputation ⇒ promotion.
#orange #newrigor",EduObservatory,Andy Anderson
