coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon May 04 17:37:34 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594506143633899520/photo/1,,0,595281124990914560,,,,en,,False,2,594506143633899520,jeffreymoro,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @jeffreymoro: Campbell uses @anvcscalar to build his @5collDH project! #5cdh #newrigor http://t.co/nkdbS0SWIu,https://twitter.com/anvcscalar/status/595281124990914560,Tue Nov 30 21:29:53 +0000 2010,anvcscalar,False,"The Alliance for Networking Visual Culture, exploring new scholarly workflows via a digital humanities publishing platform called Scalar.",1,875,632,55,Los Angeles,Scalar,anvcscalar,349,,http://scalar.usc.edu,False
,Sun May 03 22:50:49 +0000 2015,5cdh newrigor,http://twitter.com/EcstaticPesse/status/594590894067691521/photo/1,,0,594997566904913920,,,,und,,False,1,594590894067691521,EcstaticPesse,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @EcstaticPesse: #5cdh #newrigor http://t.co/oeWXjvpzEq,https://twitter.com/5collDH/status/594997566904913920,Sat Dec 28 23:38:02 +0000 2013,5collDH,False,Five College Digital Humanities :: Cultivating the humanities through digital innovation @5Colleges @amplify285 ::  #digitalhumanities #5cDH @jeffreymoro,379,388,472,22,"Pioneer Valley, MA",Five College DH,5collDH,1317,Eastern Time (US & Canada),http://5CollDH.org,False
,Sun May 03 22:47:55 +0000 2015,NewRigor,,,0,594996840346624001,,,,en,,,2,594585295271497728,ByzCapp,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ByzCapp: Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",https://twitter.com/5collDH/status/594996840346624001,Sat Dec 28 23:38:02 +0000 2013,5collDH,False,Five College Digital Humanities :: Cultivating the humanities through digital innovation @5Colleges @amplify285 ::  #digitalhumanities #5cDH @jeffreymoro,379,388,472,22,"Pioneer Valley, MA",Five College DH,5collDH,1317,Eastern Time (US & Canada),http://5CollDH.org,False
,Sun May 03 22:47:47 +0000 2015,NewRigor,,,0,594996806955737088,,,,en,,,1,594573194402607105,umassdhi,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @umassdhi: Great to see @Pompeiana79 @coppergiloth and @jonberndtolsen at #NewRigor @5collDH,https://twitter.com/5collDH/status/594996806955737088,Sat Dec 28 23:38:02 +0000 2013,5collDH,False,Five College Digital Humanities :: Cultivating the humanities through digital innovation @5Colleges @amplify285 ::  #digitalhumanities #5cDH @jeffreymoro,379,388,472,22,"Pioneer Valley, MA",Five College DH,5collDH,1317,Eastern Time (US & Canada),http://5CollDH.org,False
,Sun May 03 22:46:56 +0000 2015,NewRigor,,,0,594996590420590592,,,,en,,,2,594585295271497728,ByzCapp,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ByzCapp: Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",https://twitter.com/amplify285/status/594996590420590592,Sat Dec 28 16:59:05 +0000 2013,amplify285,False,"author. amplifier. professor @ Amherst C. + director & cultivator of media, digital, & tech ecologies @5collDH #DigitalHumanities #5cDH",2333,577,516,23,"Amherst, MA",Marisa Parham,amplify285,1679,,http://mp285.com,False
,Sun May 03 22:46:49 +0000 2015,NewRigor 5collDH,,,0,594996563216355328,,,,en,,,1,594584667715670018,Pompeiana79,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Pompeiana79: @byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",https://twitter.com/amplify285/status/594996563216355328,Sat Dec 28 16:59:05 +0000 2013,amplify285,False,"author. amplifier. professor @ Amherst C. + director & cultivator of media, digital, & tech ecologies @5collDH #DigitalHumanities #5cDH",2333,577,516,23,"Amherst, MA",Marisa Parham,amplify285,1679,,http://mp285.com,False
,Sun May 03 00:01:52 +0000 2015,5cDH NewRigor,,,0,594653060904812544,,,,en,,,2,594507932697526272,jeffreymoro,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jeffreymoro: Campbell's work: ""Building an interface that coproduces *with* the images on display."" #5cDH #NewRigor @5collDH",https://twitter.com/textpotential/status/594653060904812544,Sun Feb 07 18:52:49 +0000 2010,textpotential,False,find me on rebelmouse http://t.co/VFRfDSaM0n,163,84,134,6,"Denver, CO",Michael Hemenway,textpotential,753,Pacific Time (US & Canada),http://textualpotential.over-blog.com,False
,Sat May 02 23:00:48 +0000 2015,NewRigor,,,0,594637692220084224,,,,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In the sciences, both new discoveries and the development and creative use of technology are valued. Why not in the humanities? #NewRigor",https://twitter.com/EduObservatory/status/594637692220084224,Sat Dec 21 23:14:42 +0000 2013,EduObservatory,False,"Academic Technology Specialist; Ph.D.,  25 years experience in research, teaching, and using and supporting academic technology in higher education.",0,30,102,1,"Amherst, Massachusetts, USA",Andy Anderson,EduObservatory,246,Eastern Time (US & Canada),https://www.amherst.edu/people/facstaff/aanderson,False
,Sat May 02 19:54:50 +0000 2015,5cdh newrigor,http://twitter.com/EcstaticPesse/status/594590894067691521/photo/1,,1,594590894067691521,,,,und,,False,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#5cdh #newrigor http://t.co/oeWXjvpzEq,https://twitter.com/EcstaticPesse/status/594590894067691521,Fri Jan 24 16:37:30 +0000 2014,EcstaticPesse,False,"using tools, not letting them use me. using the internet and a window not as a narcotic mirror.",26,44,275,0,,Ecstatic Pessimist,EcstaticPesse,120,Eastern Time (US & Canada),http://ecstaticpessimist.in,False
,Sat May 02 19:32:35 +0000 2015,NewRigor,,,0,594585295271497728,,,,en,,,2,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",https://twitter.com/ByzCapp/status/594585295271497728,Thu May 10 20:19:26 +0000 2012,ByzCapp,False,"A.L. McMichael for Documenting Cappadocia: website, scholarly community about Byzantine Cappadocia. Also #LinkedData #DigitalHumanities #maps",1994,1482,1756,59,,Byzantine Cappadocia,ByzCapp,2746,Atlantic Time (Canada),http://documentingcappadocia.newmedialab.cuny.edu,False
,Sat May 02 19:30:06 +0000 2015,NewRigor 5collDH,,,0,594584667715670018,ByzCapp,594584356699512832,576539861,en,,,1,,,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",https://twitter.com/Pompeiana79/status/594584667715670018,Thu May 31 13:37:44 +0000 2012,Pompeiana79,False,"Roman Archaeologist, Pompeii Specialist, DH Devotee",1749,603,420,24,Western Mass,Eric Poehler,Pompeiana79,3452,,http://umass.academia.edu/EricPoehler,False
,Sat May 02 19:28:52 +0000 2015,NewRigor,,,2,594584356699512832,,,,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#NewRigor My questions are large and existential!,https://twitter.com/ByzCapp/status/594584356699512832,Thu May 10 20:19:26 +0000 2012,ByzCapp,False,"A.L. McMichael for Documenting Cappadocia: website, scholarly community about Byzantine Cappadocia. Also #LinkedData #DigitalHumanities #maps",1994,1482,1756,59,,Byzantine Cappadocia,ByzCapp,2746,Atlantic Time (Canada),http://documentingcappadocia.newmedialab.cuny.edu,False
,Sat May 02 19:20:21 +0000 2015,newrigor 5cdh,,,0,594582214391783424,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""How do we get our non-DH peers to understand what we do?"" - @Pompeiana79 #newrigor #5cdh",https://twitter.com/sheishistoric/status/594582214391783424,Fri Sep 13 02:12:37 +0000 2013,sheishistoric,False,History/DH Major. Incurable reader. Proud travel lover. Passionate web scholar. Persistent Tumblr blogger. Constantly in search of numen. Tweets are my own.,12420,275,690,18,UMass Amherst,Emily Esten,sheishistoric,1903,,http://emilyesten.com,False
,Sat May 02 19:09:59 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594579605664702466/photo/1,,1,594579605664702466,Pompeiana79,594577609704480769,595495147,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Pompeiana79 or like this:

#NewRigor #5collDH http://t.co/bD9zj4BU0c",https://twitter.com/Pompeiana79/status/594579605664702466,Thu May 31 13:37:44 +0000 2012,Pompeiana79,False,"Roman Archaeologist, Pompeii Specialist, DH Devotee",1749,603,420,24,Western Mass,Eric Poehler,Pompeiana79,3452,,http://umass.academia.edu/EricPoehler,False
,Sat May 02 19:08:07 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577609704480769/photo/1,,0,594579134736654338,,,,en,,False,2,594577609704480769,Pompeiana79,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @Pompeiana79: @pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",https://twitter.com/jonberndtolsen/status/594579134736654338,Sat Nov 07 13:08:33 +0000 2009,jonberndtolsen,False,"Asst. Prof. of History, specializing in Digital Public History and German History at the University of Massachusetts at Amherst.",31,226,147,17,"Amherst, MA, USA",Jon Berndt Olsen,jonberndtolsen,140,Central Time (US & Canada),http://digital.history.umass.edu/jon,False
,Sat May 02 19:03:46 +0000 2015,NewRigor,,,0,594578040623124480,,,,en,,,2,594571258768982020,jdrabinski,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @jdrabinski: New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support …",https://twitter.com/SmithGIS/status/594578040623124480,Mon Aug 24 19:51:25 +0000 2009,SmithGIS,False,"Peddling Spatial Reasoning and related technologies at Smith College, Northampton, MA.",3,337,307,30,Northampton MA,GIS @ Smith College,SmithGIS,285,Central Time (US & Canada),http://about.me/smithgis,False
,Sat May 02 19:03:17 +0000 2015,newrigor blue,,,0,594577918787002368,,,,en,,,1,594577046656942080,mariinyrop,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mariinyrop: #newrigor #blue Should there be a firm separation of Assessment + Analytics when evaluating + supporting young scholars? ..…,https://twitter.com/sheishistoric/status/594577918787002368,Fri Sep 13 02:12:37 +0000 2013,sheishistoric,False,History/DH Major. Incurable reader. Proud travel lover. Passionate web scholar. Persistent Tumblr blogger. Constantly in search of numen. Tweets are my own.,12420,275,690,18,UMass Amherst,Emily Esten,sheishistoric,1903,,http://emilyesten.com,False
,Sat May 02 19:02:03 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577609704480769/photo/1,,2,594577609704480769,Pompeiana79,594577451193360385,595495147,en,,False,2,,,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",https://twitter.com/Pompeiana79/status/594577609704480769,Thu May 31 13:37:44 +0000 2012,Pompeiana79,False,"Roman Archaeologist, Pompeii Specialist, DH Devotee",1749,603,420,24,Western Mass,Eric Poehler,Pompeiana79,3452,,http://umass.academia.edu/EricPoehler,False
