hashtags,favorite_count,text,user_screen_name,user_name
NewRigor,0,"In the sciences, both new discoveries and the development and creative use of technology are valued. Why not in the humanities? #NewRigor",EduObservatory,Andy Anderson
5cdh newrigor,1,#5cdh #newrigor http://t.co/oeWXjvpzEq,EcstaticPesse,Ecstatic Pessimist
NewRigor,0,"Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",ByzCapp,Byzantine Cappadocia
NewRigor 5collDH,0,"@byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",Pompeiana79,Eric Poehler
NewRigor,2,#NewRigor My questions are large and existential!,ByzCapp,Byzantine Cappadocia
newrigor 5cdh,0,"""How do we get our non-DH peers to understand what we do?"" - @Pompeiana79 #newrigor #5cdh",sheishistoric,Emily Esten
NewRigor 5collDH,1,"@Pompeiana79 or like this:

#NewRigor #5collDH http://t.co/bD9zj4BU0c",Pompeiana79,Eric Poehler
NewRigor 5collDH,2,"@pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",Pompeiana79,Eric Poehler
NewRigor 5collDH,2,"The filter for DH evaluations, at all levels, needs to look like this: 

#NewRigor #5collDH http://t.co/1zJ1yVoqtX",Pompeiana79,Eric Poehler
newrigor blue,0,#newrigor #blue Should there be a firm separation of Assessment + Analytics when evaluating + supporting young scholars? ... data vs doing?,mariinyrop,marii nyröp
LAWDI NewRigor,1,@Pompeiana79 It's a #LAWDI and #NewRigor crossover episode!,ByzCapp,Byzantine Cappadocia
NewRigor,0,Great to see @Pompeiana79 @coppergiloth and @jonberndtolsen at #NewRigor @5collDH,umassdhi,UMass DHI
NewRigor,0,hey @ByzCapp we see you here in the #NewRigor room!! Welcome!,Pompeiana79,Eric Poehler
newrigor,0,Great first round of talks at #newrigor @5colldh,umassdhi,UMass DHI
NewRigor,0,"New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support staff"" #NewRigor",jdrabinski,John E. Drabinski
gnurigor NewRigor,1,#gnurigor #NewRigor http://t.co/USEBIJ8imE,jeffreymoro,Jeffrey Moro
NewRigor,0,Lunch break at #NewRigor conference with @5collDH folks http://t.co/HPC0ikkkgA,jdrabinski,John E. Drabinski
newrigor 5cdh,1,My small hand makes the perfect coffee stirrer #newrigor #5cdh http://t.co/qAfO4uYDg3,EcstaticPesse,Ecstatic Pessimist
DH NewRigor green,2,@Pompeiana79 one answer might be to build parts of your #DH project as viable on their own Each a minimally viable product. #NewRigor #green,Pompeiana79,Eric Poehler
AltAcs newrigor,1,"@Pompeiana79 and #AltAcs the ""suicide squad""? #newrigor",ekansa,Eric Kansa
newrigor green,0,"High-Risk/High-Reward push by funders 4 projects makes pre-tenure faculty into gamblers. So, how to we evaluate ""failure""? #newrigor #green",Pompeiana79,Eric Poehler
newrigor,1,"Wishing I could attend #newrigor in person, but following along from the tweets is good too. Thanks to those livetweeting.",cliotropic,Shane Landrum
purple newrigor,0,"#purple #newrigor talking models for valuing iterations. Lang of again, articulating how different practices can become values, if we push",amplify285,Marisa Parham
BitterStaff orange newrigor,0,"“How is participation in a scholarly project assessed and evaluated?”
Not. New meme: #BitterStaff (except with a union!)
#orange #newrigor",EduObservatory,Andy Anderson
orange newrigor,1,varied landscape in assessment for staff in scholarly work - #orange #newrigor @5collDH,SmithGIS,GIS @ Smith College
orange newrigor,0,"“How is participation in a scholarly project assessed and evaluated?”
Theoretically merit pay ⇑, mostly pats on the back. 
#orange #newrigor",EduObservatory,Andy Anderson
red newrigor,0,#red: the way we talk about a project is very different than the project itself  #newrigor,sheishistoric,Emily Esten
blue NewRigor,0,suggesting metrics (i.e. Google Analytics) for participation tracking. how do diff b/t actual involvement &amp; self promotion? #blue #NewRigor,_superluminal,liz alexander
orange newrigor,1,"“Evaluation &amp; assessment different for principal investigators”
Parallel life — what we’re asked to do and actually do.
#orange #newrigor",EduObservatory,Andy Anderson
newrigor green,1,'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive #newrigor #green,Pompeiana79,Eric Poehler
newrigor purple,1,"#newrigor #purple talking @ the language of our concerns. So many things, realizing we need new words, new categories, attached to values",amplify285,Marisa Parham
newrigor red,0,#newrigor #red Digital humanities is more about using digital research and practice methodologies instead of it being about the medium,EcstaticPesse,Ecstatic Pessimist
blue newrigor,0,uncooperative internet means I'm alternately live tweeting the #blue group discussion from the video stream and the Google Doc! #newrigor,_superluminal,liz alexander
orange newrigor,0,"“What is the difference between collaboration and support?”
Could also include producing or procuring funding.
#orange #newrigor",EduObservatory,Andy Anderson
collaboration orange newrigor,0,Defining TRUE #collaboration @5collDH #orange #newrigor vs. support,SmithGIS,GIS @ Smith College
blue newrigor,0,thinking about peer review as a possible mode for DH work evaluation #blue #newrigor,_superluminal,liz alexander
orange newrigor,1,"“What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#orange #newrigor",EduObservatory,Andy Anderson
newrigor purple,1,"#newrigor #purple working thru the ? of how to articulate the value of failure in a humanities environment: “u don’t get points for trying""",amplify285,Marisa Parham
orange newrigor,0,"“Structures for staff member’s own intellectual work?”
Prof. dev. support better in IT than in libraries — usually. MHC?
#orange #newrigor",EduObservatory,Andy Anderson
value orange newrigor,0,"#value is not in question for participating in scholarship, but what are the rewards? #orange #newrigor @5collDH",SmithGIS,GIS @ Smith College
blue newrigor,0,cornett: how do we fairly evaluate inherently collaborative work? #blue #newrigor,_superluminal,liz alexander
blue newrigor,0,big questions: what are the ethics of assuming shared knowledge/paradigms? #blue #newrigor,_superluminal,liz alexander
blue newrigor,0,how can we evaluate DH w/o a basic understanding of/relationships with tech platforms? #blue #newrigor,_superluminal,liz alexander
red newrigor,0,#red: do these project types even encompass what the student symposium projects do &amp; present? #newrigor,sheishistoric,Emily Esten
orange newrigor,0,"“What kinds of structures would help staff member’s own intellectual work emerge?”
Professional development support varies
#orange #newrigor",EduObservatory,Andy Anderson
blue NewRigor,1,the beautiful thing about DH working groups: finding alternative communication methods when tech goes wrong #blue #NewRigor,_superluminal,liz alexander
staff newrigor,0,can there be a #staff pool to draw on where we attend academic conferences? #newrigor @5collDH,SmithGIS,GIS @ Smith College
purple newrigor,0,.@5CollDH #purple #newrigor taking up the ? of what ‘high risk’ means &amp; wondering how tied old model of demonstrating “unique-ness”,amplify285,Marisa Parham
GIS newrigor,1,Note - taking break from normal #GIS tweets to address questions at #newrigor @5collDH,SmithGIS,GIS @ Smith College
red newrigor,0,"#red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",sheishistoric,Emily Esten
newrigor red,1,#newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology in academia,EcstaticPesse,Ecstatic Pessimist
orange newrigor,0,"“Evaluation &amp; assessment different for principal investigators”
UMass library different, national reputation ⇒ promotion.
#orange #newrigor",EduObservatory,Andy Anderson
blue NewRigor,1,what is twitter and how can academics best utilize it personally and professionally? #blue #NewRigor,_superluminal,liz alexander
newrigor purple,1,"#newrigor #purple tenure group &amp; we’re talking ab collaboration &amp; articulating how projs aren’t possible w/o staff, student, &amp; other collabs",amplify285,Marisa Parham
orange newrigor,0,"“How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
#orange #newrigor",EduObservatory,Andy Anderson
NewRigor blue,0,"#NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of documentation",_superluminal,liz alexander
orange newrigor staff,0,@5collDH #orange #newrigor #staff beginning to answer question of evaluation / assessment as principal investigators,SmithGIS,GIS @ Smith College
blue NewRigor,1,hi #blue group!!!! #NewRigor @5collDH,_superluminal,liz alexander
newrigor Orange,0,Conversations on professional evaluation of digital humanities beginning now at the #newrigor. #Orange group a mix of techs and librarians.,EduObservatory,Andy Anderson
orange newrigor,1,exciting #orange group is forming at #newrigor @5collDH,SmithGIS,GIS @ Smith College
